serovar	strain	aliases	special_case	evidence_mode	readiness
1	No. 4	N4		HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
2	SW140			HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
3	SW114			HYBRID_TARGET_ARCHITECTURE	INSUFFICIENT_DATA
4	SW124			HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
5	Nagasaki		SPECIAL_CASE_5_12	SPECIAL_CASE_5_12	SPECIAL_CASE
6	131			HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
7	174			ARCHITECTURE_SUPPORTED	PROVISIONAL
8	C5			SINGLE_TARGET_WITH_ARCHITECTURE_CONFIRMATION	READY
9	D74			SINGLE_TARGET_WITH_ARCHITECTURE_CONFIRMATION	READY
10	H555			HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
11	H465			INSUFFICIENT_REFERENCE_DATA	INSUFFICIENT_DATA
12	H425		SPECIAL_CASE_5_12	SPECIAL_CASE_5_12	SPECIAL_CASE
13	IA-84-17975	84-17975		ARCHITECTURE_SUPPORTED	PROVISIONAL
14	IA-84-22113	84-22113		HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
15	SD-84-15995	84-15995		HYBRID_TARGET_ARCHITECTURE	PROVISIONAL
