component_id	serovar	reference_strain	gene_name	aliases	accession	gene_order	orientation	sequence_length	upstream_neighbor	downstream_neighbor	functional_category	source_publication	doi	local_fasta	sequence_sha256	notes
S01_KC795279.1	1	N4	funA9		KC795279.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		funB1	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795279_1.fasta	44111c647170a08dfda5b864c2307b44a0397344d3c49ed4dd55c53ec7493b16	DOWNLOADED
S01_KC795280.1	1	N4	funB1		KC795280.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1245	funA9	hydA1	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795280_1.fasta	85c0adf1c0491023303ee3c122f33fcb756671fc9b23b2dee84eb511faef8297	DOWNLOADED
S01_KC795281.1	1	N4	hydA1		KC795281.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1491	funB1	funB1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795281_1.fasta	225a2280aa539d4b704e0661a3b77c369937a10f9304d91b64a5a9c947b8582a	DOWNLOADED
S01_KC795282.1	1	N4	funB1		KC795282.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	270	hydA1	gptA1	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795282_1.fasta	2d9c5e330390ada0970dffc5156ba311c438f857c343a27325d779314589ef61	DOWNLOADED
S01_KC795283.1	1	N4	gptA1		KC795283.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1230	funB1	wbuS1	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795283_1.fasta	af8334476fb68fd65dfe115fd2fcc7cf2cab8bd7d4fdac784d1e8d1bd09f5bf8	DOWNLOADED
S01_KC795284.1	1	N4	wbuS1		KC795284.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	981	gptA1	wzy1	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795284_1.fasta	6492bc84a5e18471b7124b24f7c5a62e150136ce16a844d2ee8a601e9c37acab	DOWNLOADED
S01_KC795285.1	1	N4	wzy1		KC795285.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1176	wbuS1	cap5E1	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795285_1.fasta	12390b05de433bfcc614e2b9ba460a036cac4079b90a58f57770a2f7877fc9c5	DOWNLOADED
S01_KC795286.1	1	N4	cap5E1		KC795286.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1032	wzy1	ndeA1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795286_1.fasta	50aea85946eb1052e9ce92dce265677a0995b6c0cadf10d7aa379c993d309baa	DOWNLOADED
S01_KC795287.1	1	N4	ndeA1		KC795287.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1113	cap5E1	naeA1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795287_1.fasta	cc41df41c3d6601fe3a4689ed51cfc3e17ea1a7486f66effc72a78afdeed049a	DOWNLOADED
S01_KC795288.1	1	N4	naeA1		KC795288.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1130	ndeA1	gltA1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795288_1.fasta	4c04b5e8d1fc31b04da5b3ff4c5184173ba6091f079d8ca81333495dde7a4511	DOWNLOADED
S01_KC795289.1	1	N4	gltA1		KC795289.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1218	naeA1	ndeB1	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795289_1.fasta	9ddae7a9cea47d481da7210f3d72f8d30eba7e3bc27485584d6e7a0f9948d126	DOWNLOADED
S01_KC795290.1	1	N4	ndeB1		KC795290.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	855	gltA1	cap5M1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795290_1.fasta	71e9bba751a2b2b356a6fa93eba47e61d1f9a2f5d2ca03b0e79393eda1170888	DOWNLOADED
S01_KC795291.1	1	N4	cap5M1		KC795291.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	549	ndeB1	capD1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795291_1.fasta	542a800e48ff769df95e7c275495c549ffb6b6082308333b238d0ebe4a6f08c6	DOWNLOADED
S01_KC795292.1	1	N4	capD1		KC795292.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1941	cap5M1	wza1	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795292_1.fasta	0fa09321701348da4ceb3fdba08f8e080de6785a529076fb4e0781117f6c23d9	DOWNLOADED
S01_KC795293.1	1	N4	wza1		KC795293.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1162	capD1	wzb1	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795293_1.fasta	1654305f5a952cc71af02bd66c190e842085458c0e34feffaa0959b50684dd01	DOWNLOADED
S01_KC795295.1	1	N4	wzb1		KC795295.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	445	wza1	wzs1	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795295_1.fasta	6e1511f3b825b43925ef9e89614ce93cc5e32d1f1e4fd26beae86d071c5beee4	DOWNLOADED
S01_KC795296.1	1	N4	wzs1		KC795296.1	17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb1	iscR1	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795296_1.fasta	db1b6c74098fc7b2f9c317348baf297b60ece5d7da1a6e82c59168880e3e54af	DOWNLOADED
S01_KC795297.1	1	N4	iscR1		KC795297.1	18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs1		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795297_1.fasta	4cb911575ffc6cc9f28b867cea13cbd3670623f0cde5be82020979838145f464	DOWNLOADED
S02_KC795298.1	2	SW140	funA2		KC795298.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		wzx2	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795298_1.fasta	b0c22e6d5655e03782412b65b92d3d832fded2102f5f8d73a1d779d3e624faa3	DOWNLOADED
S02_KC795299.1	2	SW140	wzx2		KC795299.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1200	funA2	funE2	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795299_1.fasta	d37d8d8150698d5ac0531361c3c41d2b087dbf84c6452ab738a9c80040430bdd	DOWNLOADED
S02_KC795300.1	2	SW140	funE2		KC795300.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1032	wzx2	hydA2	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795300_1.fasta	5ef910bd4e741dcf373bc8a2dc9fdaa3dfcc320f022c88ab9b74dc2f4b1fc58a	DOWNLOADED
S02_KC795301.1	2	SW140	hydA2		KC795301.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1539	funE2	funC2	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795301_1.fasta	22fd06b639de520b9399351dded1859214a06d7235e7b3bb63f8fcc651b80de9	DOWNLOADED
S02_KC795302.1	2	SW140	funC2		KC795302.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	270	hydA2	gptA2	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795302_1.fasta	15eb76a29bd18f73192c233dedc318d12362a14521b2a4a3941951ee91394059	DOWNLOADED
