serovar	reference_strain	howell_cds_accession	gene_name	aliases	gene_order	orientation	upstream_neighbor	downstream_neighbor	sequence_length	evidence_source
1	N4	KC795279.1	funA9		1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED		funB1	582	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795280.1	funB1		2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funA9	hydA1	1245	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795281.1	hydA1		3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funB1	funB1	1491	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795282.1	funB1		4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	hydA1	gptA1	270	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795283.1	gptA1		5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	funB1	wbuS1	1230	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795284.1	wbuS1		6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	gptA1	wzy1	981	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795285.1	wzy1		7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wbuS1	cap5E1	1176	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795286.1	cap5E1		8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	wzy1	ndeA1	1032	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795287.1	ndeA1		9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	cap5E1	naeA1	1113	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
1	N4	KC795288.1	naeA1		10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	ndeA1	gltA1	1130	Howell2013_CDS_FASTA_KC795279-KC795550_plus_KC853023;docs/capsule_locus_architecture.md
