serovar	reference_strain	verified_aliases	Howell_reference_architecture_summary	architecture_assessment_phase4d1	Howell_diagnostic_target	target_reliability_phase4d	multi_cds_candidate	multi_cds_status_phase4d	highly_conserved_components	variable_components	shared_cross_reactive_components	expected_gene_order_features	expected_adjacency_features	orientation_features	known_competing_serovars	known_special_cases	current_ground_truth_strength	proposed_future_evidence_mode	current_readiness_for_v02	unresolved_questions	provenance
1	No. 4	N4	funA9>funB1>hydA1>funB1>gptA1>wbuS1>wzy1>cap5E1>ndeA1>naeA1>gltA1>ndeB1>cap5M1>capD1>wza1>wzb1>wzs1>iscR1	HIGHLY_REPRODUCIBLE	funB/KC795280.1	PROBLEMATIC	MCDS_01_001	MOVE_TO_MULTICDS_SIGNATURE	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	2;11	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	2;11	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	source_conflict_isolates_not_for_tuning	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
2	SW140		funA2>wzx2>funE2>hydA2>funC2>gptA2>wbuS2>wzy2>cap5E2>ndeA2>naeA2>gltA2>ndeB2>pilT2>cap5M2>capD2>wza2>wzb2>wzs2>iscR2	MODERATELY_REPRODUCIBLE	wzx/KC795299.1	NEEDS_REFINEMENT	MCDS_02_002	NEEDS_MORE_GROUND_TRUTH	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	1;11	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	1;11	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	external_validation_required	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
3	SW114		funA3>dgdA3>pbpA3>ppoA3>gltB3>naeB3>funG3>funH3>gltC3>gltD3>lstA3>traA3>wza3>wzb3>wzs3>iscR3	MODERATELY_REPRODUCIBLE	glyC/KC795327.1	INSUFFICIENT_DATA	MCDS_03_003	UNRESOLVED	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	5	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	5	NONE	METADATA_OR_COMPUTATIONAL_LABELS	HYBRID_TARGET_ARCHITECTURE	INSUFFICIENT_DATA	low_n_labeled_genomes	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
4	SW124		funA4>neuA4>wzx4>mepA4>gltF4>wciP4>gltG4>lstB4>lstA4>wza4>wzb4>wzs4>iscR4	HIGHLY_REPRODUCIBLE	wciP/KC795356.1	PROBLEMATIC	MCDS_04_004	MOVE_TO_MULTICDS_SIGNATURE	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	14;15;5	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	14;15;5	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	source_conflict_isolates_not_for_tuning	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
5	Nagasaki		funA5>neuA5>wzx5>lsgB5>funK5>wcwK5>wcfQ5>wbgX5>wbgY5>capD5>wza5>wzb5>wzs5>iscR5	SPECIAL_CASE	wcwK/KC795341.1	SPECIAL_CASE	MCDS_05_005	SPECIAL_CASE_5_12	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	12	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	12	SPECIAL_CASE_5_12	METADATA_OR_COMPUTATIONAL_LABELS	SPECIAL_CASE_5_12	SPECIAL_CASE	5_12_inseparable	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
6	131		funA6>neuA6>wzx6>lsgB6>gltH6>funL6>gltI6>wcfQ6>wbgX6>wbgY6>funM6>funN6>capD6>wza6>wzb6>wzs6>iscR6	MODERATELY_REPRODUCIBLE	gltI/KC795372.1	NEEDS_REFINEMENT	MCDS_06_006	NEEDS_MORE_GROUND_TRUTH	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	5;8;10	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	5;8;10	NONE	METADATA_OR_COMPUTATIONAL_LABELS	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	assay_region_unresolved	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
7	174		funA7>neuA7>wzx7>astA7>funP7>funQ7>gltJ7>cap5E7>ndeA7>naeA7>gltA7>ndeB7>pilT7>cap5M7>capD7>wza7>wzb7>wzs7>iscR7	HIGHLY_REPRODUCIBLE	funQ/KC795390.1	INSUFFICIENT_DATA	MCDS_07_007	UNRESOLVED	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	9	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	9	NONE	METADATA_OR_COMPUTATIONAL_LABELS	ARCHITECTURE_SUPPORTED	PROVISIONAL	external_validation_required	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
8	C5		funA8>neuA8>wzx8>astA8>gltH8>adlA8>scdA8>funS8>gltK8>wbgX8>wbgY8>funM8>funN8>wza8>wzb8>wzs8>iscR8>capD8	HIGHLY_REPRODUCIBLE	scdA/KC795411.1	PROMISING	MCDS_08_008	RETAIN_CURRENT_TARGET	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	10	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	10	NONE	METADATA_OR_COMPUTATIONAL_LABELS	SINGLE_TARGET_WITH_ARCHITECTURE_CONFIRMATION	READY	external_validation_required	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
9	D74		funA9>neuA9>wzx9>astA9>funP9>funV9>gltL9>gltM9>ndeB9>pilT9>cap5M9>capD9>wza9>wzb9>wzs9>iscR9	HIGHLY_REPRODUCIBLE	funV/KC795429.1	PROMISING	MCDS_09_009	RETAIN_CURRENT_TARGET	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	7;13	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	7;13	NONE	METADATA_OR_COMPUTATIONAL_LABELS	SINGLE_TARGET_WITH_ARCHITECTURE_CONFIRMATION	READY	external_validation_required	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
10	H555		funA10>neuA10>wzx10>astA10>gltH10>adlA10>funX10>funS10>gltK10>wbgX10>wbgY10>funM10>capD10>wza10>wzb10>wzs10>iscR10	HIGHLY_REPRODUCIBLE	funX/KC795448.1	NEEDS_REFINEMENT	MCDS_10_010	NEEDS_MORE_GROUND_TRUTH	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	8	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	8	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	source_conflict_isolates_not_for_tuning	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
11	H465		funA11>funB11>hydA11>funC11>gptA11>wbuS11>wzy11>cap5E11>ndeA11>naeA11>gltO11>bstA11>actA11>funY11>amtA11>capD11>wza11>wzb11>wzs11>iscR11	INSUFFICIENT_DATA	amtA/KC795474.1	PROBLEMATIC	MCDS_11_011	MOVE_TO_MULTICDS_SIGNATURE	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	1;2	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	1;2	NONE	METADATA_OR_COMPUTATIONAL_LABELS	INSUFFICIENT_REFERENCE_DATA	INSUFFICIENT_DATA	low_n_labeled_genomes	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
12	H425		funA12>neuA12>wzx12>lsgB12>funK12>wcwK12>wcfQ12>wbgX12>wbgY12>capD12>wza12>wzb12>wzs12>iscR12	SPECIAL_CASE	wcwK/KC795486.1	SPECIAL_CASE	MCDS_12_012	SPECIAL_CASE_5_12	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	5	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	5	SPECIAL_CASE_5_12	METADATA_OR_COMPUTATIONAL_LABELS	SPECIAL_CASE_5_12	SPECIAL_CASE	5_12_inseparable	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
13	IA-84-17975	84-17975	funA13>neuA13>wzx13>lsgB13>gltP13>funZ13>waaL13>gltM13>ndeB13>pilT13>cap5M13>capD13>wza13>wzb13>wzs13>iscR13	HIGHLY_REPRODUCIBLE	gltP/KC795500.1	INSUFFICIENT_DATA	MCDS_13_013	UNRESOLVED	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	9;15	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	9;15	NONE	METADATA_OR_COMPUTATIONAL_LABELS	ARCHITECTURE_SUPPORTED	PROVISIONAL	external_validation_required	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
14	IA-84-22113	84-22113	funA14>mdhA14>mviM14>funAA14>wbbJ14>gstA14>wzxB14>funAB14>funAC14>gltQ14>uaeA14>wblI14>wbgX14>wbgY14>capD14>wza14>wzb14>wzs14>iscR14	HIGHLY_REPRODUCIBLE	funAB/KC795520.1	NEEDS_REFINEMENT	MCDS_14_014	MOVE_TO_MULTICDS_SIGNATURE	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	4;15	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	4;15	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	source_conflict_isolates_not_for_tuning	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
15	SD-84-15995	84-15995	funA15>neuA15>wzx15>funI15>funJ15>gltR15>gltE15>gltM15>ndeB15>pilT15>cap5M15>capD15>wza15>wzb15>iscR15>wzs15	MODERATELY_REPRODUCIBLE	funI/KC795537.1	NEEDS_REFINEMENT	MCDS_15_015	NEEDS_MORE_GROUND_TRUTH	export_module_wza_wzb_wzs_iscR;funA_like_start_where_present	Region2_serovar_associated_CDS_set	4;14	Howell_CDS_deposit_order;local_contig_synteny	consecutive_Region2_neighbors_same_contig	supportive_when_available;often_incomplete_in_assemblies	4;14	TIER1_SOURCE_CONFLICT_CONTEXT	TIER1_SOURCE_CONFLICT	HYBRID_TARGET_ARCHITECTURE	PROVISIONAL	source_conflict_isolates_not_for_tuning	Howell2013_DOI_10.1128/JB.00471-13;Phase3A_CDS;Phase4D;Phase4D.1
